location,datetime,tempmax,dew,humidity,solarradiation
colombo,2016-01-01,30.1,22.7,78.0,205.0
colombo,2016-01-02,30.1,22.9,81.0,203.2
colombo,2016-01-03,31.0,22.1,76.0,231.1
colombo,2016-01-04,31.3,22.8,77.0,224.8
colombo,2016-01-05,30.5,23.0,80.0,218.1
colombo,2016-01-06,30.9,23.6,84.0,225.0
colombo,2016-01-07,30.4,23.1,82.0,188.2
colombo,2016-01-08,31.1,21.8,74.0,224.0
colombo,2016-01-09,31.7,21.7,72.0,245.7
colombo,2016-01-10,30.0,22.1,75.0,154.6
colombo,2016-01-11,31.5,21.3,70.0,241.2
colombo,2016-01-12,31.4,20.2,67.0,257.2
colombo,2016-01-13,30.3,19.0,66.0,211.0
colombo,2016-01-14,30.7,19.1,66.0,246.0
colombo,2016-01-15,30.5,19.2,67.0,231.7
colombo,2016-01-16,31.5,20.4,68.0,268.7
colombo,2016-01-17,31.9,20.5,70.0,268.9
colombo,2016-01-18,32.0,20.7,73.0,272.2
colombo,2016-01-19,32.0,21.8,74.0,260.4
colombo,2016-01-20,32.3,22.5,74.0,242.3
colombo,2016-01-21,32.4,22.4,72.0,220.2
colombo,2016-01-22,32.4,22.0,71.0,228.0
colombo,2016-01-23,32.2,22.8,76.0,223.0
colombo,2016-01-24,33.0,23.2,76.0,232.7
colombo,2016-01-25,32.8,23.6,79.0,236.3
colombo,2016-01-26,32.7,22.9,74.0,253.3
colombo,2016-01-27,33.5,19.9,66.0,282.7
colombo,2016-01-28,32.1,19.4,67.0,275.8
colombo,2016-01-29,31.9,19.8,67.0,258.8
colombo,2016-01-30,32.3,17.9,58.0,251.4
colombo,2016-01-31,32.7,18.7,59.0,260.3
colombo,2016-02-01,32.5,18.7,59.0,245.7
colombo,2016-02-02,33.0,17.9,56.0,257.2
colombo,2016-02-03,33.4,16.3,53.0,276.5
colombo,2016-02-04,33.2,17.8,57.0,275.5
colombo,2016-02-05,32.4,20.1,63.0,216.5
colombo,2016-02-06,33.5,21.3,66.0,234.2
colombo,2016-02-07,32.2,22.3,69.0,150.3
colombo,2016-02-08,33.7,22.5,70.0,250.3
colombo,2016-02-09,32.5,22.8,74.0,232.8
colombo,2016-02-10,32.8,22.9,73.0,247.6
colombo,2016-02-11,33.3,22.4,72.0,264.6
colombo,2016-02-12,34.4,21.2,66.0,280.1
colombo,2016-02-13,32.5,22.1,70.0,243.8
colombo,2016-02-14,32.7,21.7,67.0,245.2
colombo,2016-02-15,32.4,23.1,77.0,210.9
colombo,2016-02-16,31.4,22.0,73.0,202.5
colombo,2016-02-17,32.6,23.0,76.0,199.6
colombo,2016-02-18,31.4,23.7,80.0,218.2
colombo,2016-02-19,31.2,23.5,81.0,255.8
colombo,2016-02-20,31.2,23.7,83.0,226.7
colombo,2016-02-21,33.0,23.2,77.0,287.4
colombo,2016-02-22,33.7,23.4,76.0,287.4
colombo,2016-02-23,31.4,23.1,76.0,239.8
colombo,2016-02-24,32.3,22.5,72.0,251.4
colombo,2016-02-25,32.3,23.5,77.0,250.5
colombo,2016-02-26,32.8,23.6,77.0,286.1
colombo,2016-02-27,33.5,22.7,73.0,275.1
colombo,2016-02-28,33.4,22.6,70.0,261.4
colombo,2016-02-29,34.0,23.4,75.0,268.4
colombo,2016-03-01,33.6,23.0,74.0,267.8
colombo,2016-03-02,34.6,22.4,69.0,284.5
colombo,2016-03-03,34.9,21.9,66.0,276.5
colombo,2016-03-04,34.5,23.1,73.0,243.9
colombo,2016-03-05,33.7,23.5,77.0,241.7
colombo,2016-03-06,31.8,23.9,79.0,268.9
colombo,2016-03-07,32.2,23.4,75.0,252.6
colombo,2016-03-08,31.8,24.0,79.0,244.0
colombo,2016-03-09,32.1,23.7,76.0,274.9
colombo,2016-03-10,33.0,24.5,76.0,250.3
colombo,2016-03-11,32.3,24.7,79.0,245.2
colombo,2016-03-12,31.7,24.0,78.0,252.1
colombo,2016-03-13,32.3,24.0,77.0,249.7
colombo,2016-03-14,33.1,23.7,73.0,267.5
colombo,2016-03-15,32.6,23.1,72.0,268.5
colombo,2016-03-16,32.8,23.4,74.0,257.7
colombo,2016-03-17,33.5,23.7,73.0,265.2
colombo,2016-03-18,34.5,23.4,71.0,266.9
colombo,2016-03-19,31.4,23.8,75.0,246.8
colombo,2016-03-20,34.2,22.8,70.0,271.7
colombo,2016-03-21,34.1,22.9,69.0,260.0
colombo,2016-03-22,32.5,22.7,67.0,245.6
colombo,2016-03-23,34.1,22.5,68.0,254.3
colombo,2016-03-24,34.5,22.7,66.0,273.6
colombo,2016-03-25,34.8,22.4,66.0,287.9
colombo,2016-03-26,34.5,23.0,69.0,290.2
colombo,2016-03-27,33.8,23.4,70.0,237.3
colombo,2016-03-28,33.0,24.0,75.0,248.4
colombo,2016-03-29,33.2,23.8,76.0,256.4
colombo,2016-03-30,32.1,24.1,79.0,227.1
colombo,2016-03-31,32.1,23.6,76.0,262.2
colombo,2016-04-01,31.8,23.9,77.0,252.6
colombo,2016-04-02,33.1,23.6,73.0,280.0
colombo,2016-04-03,33.5,23.6,72.0,277.2
colombo,2016-04-04,32.5,24.0,76.0,254.1
colombo,2016-04-05,33.1,24.2,80.0,234.8
colombo,2016-04-06,33.2,24.3,78.0,273.3
colombo,2016-04-07,32.4,24.5,79.0,245.4
colombo,2016-04-08,32.7,24.1,75.0,261.8
colombo,2016-04-09,33.7,24.0,73.0,282.3
colombo,2016-04-10,33.1,24.2,77.0,255.1
colombo,2016-04-11,32.6,24.1,75.0,269.0
colombo,2016-04-12,33.1,24.5,75.0,254.2
colombo,2016-04-13,33.1,25.2,77.0,245.3
colombo,2016-04-14,32.4,25.0,77.0,248.4
colombo,2016-04-15,33.1,24.8,77.0,242.0
colombo,2016-04-16,32.1,24.7,79.0,241.4
colombo,2016-04-17,32.8,24.9,79.0,239.4
