target,horizon,model_rmse,model_mae,model_r2,baseline_rmse,baseline_mae,baseline_r2,rmse_improvement_percent,train_rows,test_rows,best_iteration
tempmax,1,1.0396,0.77785,0.7041,1.99276,1.52168,-0.08722,47.83,43940,4948,840
tempmax,2,1.12652,0.87971,0.65255,1.99291,1.52175,-0.08739,43.47,43927,4948,343
tempmax,3,1.19867,0.93301,0.60663,1.99313,1.52185,-0.08762,39.86,43914,4948,636
tempmax,4,1.23515,0.9625,0.58231,1.99335,1.52195,-0.08787,38.04,43901,4948,747
tempmax,5,1.27139,0.98312,0.55745,1.99357,1.52205,-0.08811,36.23,43888,4948,353
tempmax,6,1.29141,0.9953,0.5434,1.99372,1.52212,-0.08827,35.23,43875,4948,365
tempmax,7,1.32297,1.01741,0.52081,1.99395,1.52222,-0.08853,33.65,43862,4948,322
tempmax,8,1.34334,1.03552,0.50594,1.9941,1.52229,-0.08869,32.63,43849,4948,290
tempmax,9,1.34555,1.03998,0.50431,1.99435,1.5224,-0.08896,32.53,43836,4948,296
tempmax,10,1.35308,1.04176,0.49875,1.99454,1.52248,-0.08916,32.16,43823,4948,252
tempmax,11,1.3533,1.03953,0.49859,1.99474,1.52257,-0.08938,32.16,43810,4948,247
tempmax,12,1.34858,1.03776,0.50207,1.99498,1.52268,-0.08965,32.4,43797,4948,263
tempmax,13,1.35662,1.04247,0.49612,1.99531,1.52283,-0.09001,32.01,43784,4948,262
tempmax,14,1.36507,1.05113,0.48982,1.9955,1.52292,-0.09021,31.59,43771,4948,282
tempmax,15,1.3618,1.04813,0.49227,1.9957,1.52301,-0.09044,31.76,43758,4948,345
humidity,1,6.62831,5.02837,0.69288,12.9342,9.68759,-0.16946,48.75,43940,4948,521
humidity,2,7.5283,5.79501,0.60381,12.93688,9.68899,-0.16994,41.81,43927,4948,441
humidity,3,8.06958,6.22545,0.54479,12.94029,9.69078,-0.17056,37.64,43914,4948,418
humidity,4,8.28409,6.37554,0.52027,12.94423,9.69283,-0.17128,36.0,43901,4948,463
humidity,5,8.52632,6.57437,0.49181,12.94755,9.69456,-0.17188,34.15,43888,4948,458
humidity,6,8.64062,6.66563,0.47809,12.95005,9.69586,-0.17233,33.28,43875,4948,545
humidity,7,8.9457,6.86089,0.44058,12.9525,9.69713,-0.17277,30.93,43862,4948,362
humidity,8,8.9956,6.82561,0.43433,12.95413,9.69798,-0.17307,30.56,43849,4948,296
humidity,9,9.08987,6.9084,0.42241,12.95644,9.69918,-0.17348,29.84,43836,4948,318
humidity,10,9.06318,6.90031,0.42579,12.95807,9.70002,-0.17378,30.06,43823,4948,263
humidity,11,9.14171,6.95131,0.4158,12.95979,9.70091,-0.17409,29.46,43810,4948,269
humidity,12,9.10018,6.94943,0.4211,12.96248,9.70231,-0.17458,29.8,43797,4948,299
humidity,13,9.10346,6.97572,0.42068,12.9661,9.70417,-0.17524,29.79,43784,4948,261
humidity,14,9.15315,6.93774,0.41434,12.9683,9.70531,-0.17564,29.42,43771,4948,244
humidity,15,9.09228,6.90425,0.4221,12.97087,9.70663,-0.1761,29.9,43758,4948,284
solarradiation,1,132.26567,100.40794,0.27334,160.74039,129.76284,-0.07322,17.71,43940,4948,1093
solarradiation,2,143.84312,110.14811,0.14056,160.72188,129.73126,-0.07297,10.5,43927,4948,352
solarradiation,3,148.05816,115.11985,0.08945,160.71331,129.71661,-0.07286,7.87,43914,4948,183
solarradiation,4,149.24328,115.44126,0.07482,160.71452,129.71868,-0.07287,7.14,43901,4948,252
solarradiation,5,147.52786,114.15654,0.09596,160.71674,129.72247,-0.0729,8.21,43888,4948,395
solarradiation,6,148.44203,115.1593,0.08472,160.69999,129.69383,-0.07268,7.63,43875,4948,325
solarradiation,7,149.16758,116.68483,0.07575,160.69391,129.68343,-0.0726,7.17,43862,4948,368
solarradiation,8,150.67019,117.71055,0.05704,160.68225,129.66344,-0.07244,6.23,43849,4948,377
solarradiation,9,150.26325,117.45107,0.06213,160.68727,129.67206,-0.07251,6.49,43836,4948,335
solarradiation,10,150.22901,117.21089,0.06255,160.68722,129.67197,-0.07251,6.51,43823,4948,358
solarradiation,11,151.50541,119.10953,0.04656,160.68741,129.67229,-0.07251,5.71,43810,4948,310
solarradiation,12,150.80511,118.36121,0.05535,160.69631,129.68753,-0.07263,6.16,43797,4948,404
solarradiation,13,151.53489,119.06442,0.04619,160.70704,129.70588,-0.07277,5.71,43784,4948,334
solarradiation,14,152.25446,119.42156,0.03711,160.70754,129.70674,-0.07278,5.26,43771,4948,355
solarradiation,15,152.2686,120.58694,0.03693,160.71271,129.71559,-0.07285,5.25,43758,4948,176
